epoch,accuracy,loss,val_accuracy,val_loss
0,0.7197851538658142,0.6935948133468628,NA,NA
1,0.8433303236961365,0.46040987968444824,NA,NA
2,0.8603401780128479,0.3966369032859802,NA,NA
3,0.897493302822113,0.3016667068004608,NA,NA
4,0.9064458608627319,0.2742269039154053,NA,NA
5,0.9019695520401001,0.2720935642719269,NA,NA
6,0.9216651916503906,0.23794299364089966,NA,NA
7,0.9355416297912598,0.21355080604553223,NA,NA
8,0.9395702481269836,0.19477340579032898,NA,NA
9,0.9422560334205627,0.17045149207115173,NA,NA
10,0.9467323422431946,0.17534559965133667,NA,NA
11,0.9583706259727478,0.14173045754432678,NA,NA
12,0.9744852185249329,0.10269680619239807,NA,NA
13,0.9722470641136169,0.09081906825304031,NA,NA
14,0.9646373987197876,0.1255590319633484,NA,NA
15,0.9717994332313538,0.10292497277259827,NA,NA
16,0.9668755531311035,0.10270145535469055,NA,NA
17,0.9811996221542358,0.06537845730781555,NA,NA
18,0.965532660484314,0.11028488725423813,NA,NA
19,0.9686660766601562,0.09839463233947754,NA,NA
20,0.981647253036499,0.06858300417661667,NA,NA
21,0.9731423258781433,0.08107640594244003,NA,NA
22,0.9838854074478149,0.06175536662340164,NA,NA
23,0.9758281111717224,0.07736343890428543,NA,NA
24,0.9811996221542358,0.06732676923274994,NA,NA
25,0.9767233729362488,0.07250320166349411,NA,NA
26,0.9758281111717224,0.07698104530572891,NA,NA
27,0.9735899567604065,0.08751361072063446,NA,NA
28,0.9870188236236572,0.03887146711349487,NA,NA
29,0.9767233729362488,0.08449435234069824,NA,NA
